Removed Pin From Net: NetName=NetC5_2 Pin=R1-1
Removed Pin From Net: NetName=NetIC1_10 Pin=R1-2
Removed Pin From Net: NetName=GND Pin=R7-1
Removed Pin From Net: NetName=NetIC1_2 Pin=R7-2
Change Component Comment : Designator=C1 Old Comment=Capacitor New Comment=1uF
Change Component Comment : Designator=C3 Old Comment=Capacitor New Comment=2.2uF/1206
Change Component Comment : Designator=C6 Old Comment=Capacitor New Comment=10uF/1812
Change Component Comment : Designator=C5 Old Comment=Capacitor New Comment=10uF
Change Component Comment : Designator=C2 Old Comment=Capacitor New Comment=22uF
Change Component Comment : Designator=R6 Old Comment=FB1 New Comment=100K
Change Component Comment : Designator=R8 Old Comment=FB2 New Comment=300K
Change Component Comment : Designator=L1 Old Comment=Inductor New Comment=5.6uH
Change Component Comment : Designator=R1 Old Comment=Resistor generic New Comment=0.01R
Change Component Comment : Designator=R7 Old Comment=Resistor generic New Comment=39K
Change Component Comment : Designator=R2 Old Comment=Resistor generic New Comment=47K 
Change Component Comment : Designator=F-D1 Old Comment=Resistor generic New Comment=Fuse
Change component parameters: Designator = "R1"; Footprint = "1812 RES"; UniqueID = "\HVSMFTYO"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/1244/1758066-1244070.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/1244/1758066-1244070.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/23621/1626779-23621468.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/23621/1626779-23621468.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Current If"; Value = "20mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Forward Voltage"; Value = "1.8V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LED Colour"; Value = "Red"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LED Mounting"; Value = "SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lens Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Luminous Intensity"; Value = "15mcd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Multicomp"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "703-0112"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Each"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "5=0.163, 25=0.139, 100=0.108, 250=0.0887, 500=0.0813, 1000=0.075 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Range"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "627"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2112124"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Viewing Angle"; Value = "140°"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wavelength Typ"; Value = "643nm"; VariantName = "[No Variations]"
Change component parameters: Designator = "C1"; Footprint = "0805 CAP"; UniqueID = "\AAJNBMKO"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance"; Value = "1 µF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Size/Dimension"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/11616/product-11616620.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/11616/product-11616620.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/138/s0717e-138752.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/138/s0717e-138752.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/138/s0717e-138753.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/138/s0717e-138753.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/18183/getdatasheetpartid-251151-18183719.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/18183/getdatasheetpartid-251151-18183719.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/138/s0717e-138751.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/138/s0717e-138751.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "GCM21BR7YA105KA55L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "5=0.391, 50=0.21, 250=0.162, 500=0.111 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Voltage"; Value = "35 V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "3630"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2494199"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance (%)"; Value = "±10 %"; VariantName = "[No Variations]"
Change component parameters: Designator = "D1"; Footprint = "SMB"; UniqueID = "\RSCIGSXQ"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance @ Vr, F"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Discrete Semiconductor Products"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.fairchildsemi.com/datasheets/SS/SS13FL.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.fairchildsemi.com/datasheets/SS/SS13FL.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "30µA @ 40V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Type"; Value = "Schottky"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "Diodes - Rectifiers - Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor / Fairchild"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SS14FL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature - Junction"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "SOD-123F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "5=0.221, 25=0.214, 100=0.0895, 250=0.0825, 500=0.0654, 1000=0.0483, 5000=0.0404 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Recovery Time (trr)"; Value = "5.695ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "Automotive, AEC-Q101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Speed"; Value = "Fast Recovery =  200mA (Io)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "2350"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOD-123F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2822564"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "40V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "550mV @ 1A"; VariantName = "[No Variations]"
Change component parameters: Designator = "D2"; Footprint = "SMB"; UniqueID = "\RYCUSNUA"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Capacitance @ Vr, F"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Discrete Semiconductor Products"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://www.fairchildsemi.com/datasheets/SS/SS13FL.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.fairchildsemi.com/datasheets/SS/SS13FL.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Average Rectified (Io)"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Reverse Leakage @ Vr"; Value = "30µA @ 40V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Type"; Value = "Schottky"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "Diodes - Rectifiers - Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "ON Semiconductor / Fairchild"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SS14FL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature - Junction"; Value = "-55°C ~ 125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "SOD-123F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "5=0.221, 25=0.214, 100=0.0895, 250=0.0825, 500=0.0654, 1000=0.0483, 5000=0.0404 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Recovery Time (trr)"; Value = "5.695ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "Automotive, AEC-Q101"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Speed"; Value = "Fast Recovery =  200mA (Io)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "2350"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Device Package"; Value = "SOD-123F"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2822564"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - DC Reverse (Vr) (Max)"; Value = "40V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage - Forward (Vf) (Max) @ If"; Value = "550mV @ 1A"; VariantName = "[No Variations]"
Change component parameters: Designator = "L1"; Footprint = "FDSD0420-H"; UniqueID = "\HIXGGJNN"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Category"; Value = "Inductors, Coils, Chokes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundmetalalloytype/m_fdsd0420.ashx"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.murata.com/~/media/webrenewal/products/inductor/chip/tokoproducts/wirewoundmetalalloytype/m_fdsd0420.ashx"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.toko.co.jp/products/pdf/inductors/fdsd0412_fdsd0415_fdsd0420.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.toko.co.jp/products/pdf/inductors/fdsd0412_fdsd0415_fdsd0420.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "http://www.farnell.com/datasheets/2550152.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.farnell.com/datasheets/2550152.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Saturation"; Value = "5.7A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "4.3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (DCR)"; Value = "36 mOhm Max"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "Fixed Inductors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency - Self Resonant"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency - Test"; Value = "100kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "0.078" (2.00mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "1.5µH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "FDSD0420-H-1R5M=P3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material - Core"; Value = "Powdered Iron"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "Nonstandard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape & Reel (TR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "5=0.926, 50=0.488, 250=0.464, 500=0.408, 1000=0.331, 2000=0.3, 10000=0.293 (EUR)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Q @ Freq"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ratings"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "FDSD0420"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Shielding"; Value = "Shielded"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.165" L x 0.165" W (4.20mm x 4.20mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "1920"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "2530091"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Wirewound"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6"; Footprint = "1812 CAP"; UniqueID = "\APYEFMXT"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Brand"; Value = "Kemet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "10 uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - in"; Value = "1812"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Code - mm"; Value = "4532"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Length"; Value = "4.5 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case Width"; Value = "3.2 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Class"; Value = "Class 2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/7807/kem-c1002-x7r-smd-7807557.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/7807/kem-c1002-x7r-smd-7807557.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/7807/1698758-7807342.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/7807/1698758-7807342.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/7807/1698758-7807343.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/7807/1698758-7807343.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Factory Pack Quantity"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KEMET"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "C1812C106K3RACTU"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Maximum Operating Temperature"; Value = "+ 125 C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Operating Temperature"; Value = "- 55 C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "1812 (4532 metric)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Reel"; VariantName = "[No Variations]"
